FIPS,State_Name,County_Name,Total_Population,Prison_Population,Percent_In_Prison,Prison_Name,Student_Population,Percent_Student,Universities,Military_Population,Percent_In_Military,Military_Institutions,Native_American_Population,Percent_Native_American,Native_American_Reservations
46093,South Dakota,Meade County,29852.0,0.0,0.00%,,0.0,0.00%,,754.0,2.50%,Ellsworth AFB,0.0,0.00%,
46095,South Dakota,Mellette County,1918.0,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,,1112.0,57.90%,Pine Ridge Reservation
46102,South Dakota,Oglala Lakota County,13672.0,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,,12822.0,93.70%,Pine Ridge Reservation
46109,South Dakota,Roberts County,10280.0,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,,4023.0,39.10%,Lake Traverse (Sisseton) Reservation
46121,South Dakota,Todd County,9319.0,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,,8269.0,88.70%,Pine Ridge Reservation; Rosebud Reservation
46137,South Dakota,Ziebach County,2413.0,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,,1925.0,79.70%,Standing Rock Reservation; Cheyenne River Reservation
47007,Tennessee,Bledsoe County,14913.0,2481.0,16.60%,Bledsoe County Jail; Bledsoe County Jail - Frazier Street; Taft Youth Development Center,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
47069,Tennessee,Hardeman County,25462.0,3428.0,13.40%,Hardeman County Correctional Facility; Hardeman County Jail; Whiteville Correctional Facility,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
47095,Tennessee,Lake County,7005.0,2062.0,29.40%,Lake County Jail,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
47169,Tennessee,Trousdale County,11615.0,2505.0,21.50%,Trousdale County Jail; Trousdale Turner Correctional Center,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48001,Texas,Anderson County,57922.0,13344.0,23.00%,Anderson County Juvenile Detention Center; Anderson County Jail; Beto Prison; Gurney Transfer Facility,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48025,Texas,Bee County,31047.0,7242.0,23.30%,Bee County Jail; Garza East Transfer Facility; Garza West Transfer Facility; Mcconnell Prison; Chase Field Wilderness Unit,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48041,Texas,Brazos County,233849.0,0.0,0.00%,,17502.0,7.40%,Texas A & M University-College Station,0.0,0.00%,,0.0,0.00%,
48075,Texas,Childress County,6664.0,1192.0,17.80%,Roach Unit; Childress County Jail,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48095,Texas,Concho County,3303.0,1012.0,30.60%,Ci Eden,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48099,Texas,Coryell County,83093.0,0.0,0.00%,,0.0,0.00%,,4676.0,5.60%,Fort Cavazos,0.0,0.00%,
48143,Texas,Erath County,42545.0,0.0,0.00%,,3186.0,7.40%,Tarleton State University,0.0,0.00%,,0.0,0.00%,
48163,Texas,Frio County,18385.0,2824.0,15.30%,South Texas Family Residential Center; South Texas Ice Processing Center; Briscoe Prison; Frio County Detention Center,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48169,Texas,Garza County,5816.0,1731.0,29.70%,Garza County Regional Juvenile Center; Garza County Jail; Garza County Jail; Ci Giles W Dalby,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48205,Texas,Hartley County,5382.0,771.0,14.30%,Hartley County Jail; Dalhart Prison,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48227,Texas,Howard County,34860.0,4490.0,12.80%,Fci Big Spring Camp; Fci Big Spring; Howard County Juvenile Probation Department; Howard County Detention Center,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48229,Texas,Hudspeth County,3202.0,996.0,31.10%,West Texas Detention Facility; Hudspeth County Jail,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48253,Texas,Jones County,19663.0,5073.0,25.70%,Jones County Jail; Middleton Transfer Facility; Robertson Prison,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48255,Texas,Karnes County,14710.0,2929.0,19.90%,Karnes County Residential Center; Karnes County Correctional Center; Connally Prison; Karnes County Jail,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48283,Texas,La Salle County,6664.0,1338.0,20.00%,La Salle County Regional Detention Center; Lasalle County Jail; Cotulla Transfer Facility,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48313,Texas,Madison County,13455.0,2306.0,17.10%,Madison County Jail,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48335,Texas,Mitchell County,8990.0,2113.0,23.50%,Mitchell County Jail; Ware Transfer Facility; Wallace Unit,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48389,Texas,Reeves County,14748.0,2981.0,20.20%,Reeves County Jail; Ci Reeves County I & Ii; Reeves County Juvenile Detention Facility; Ci Reeves County Iii,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48471,Texas,Walker County,76400.0,14881.0,19.40%,Walker County Jail; Byrd Diagnostic Intake Facility; Holliday Transfer Facility; Huntsville Prison,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
48473,Texas,Waller County,56794.0,0.0,0.00%,,5814.0,10.20%,Prairie View A & M University,0.0,0.00%,,0.0,0.00%,
48485,Texas,Wichita County,129350.0,0.0,0.00%,,0.0,0.00%,,4200.0,3.20%,Sheppard AFB,0.0,0.00%,
49037,Utah,San Juan County,14518.0,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,,7278.0,50.10%,Ute Mountain Reservation; Navajo Reservation
50001,Vermont,Addison County,37363.0,0.0,0.00%,,2595.0,6.90%,Middlebury College,0.0,0.00%,,0.0,0.00%,
51081,Virginia,Greensville County,11391.0,3273.0,28.70%,Greensville Correctional Center; Southside Regional Jail; Greensville Work Center,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
51121,Virginia,Montgomery County,99721.0,0.0,0.00%,,10247.0,10.20%,Edward Via College Of Osteopathic Medicine; Virginia Polytechnic Institute And State University,0.0,0.00%,,0.0,0.00%,
51147,Virginia,Prince Edward County,21849.0,0.0,0.00%,,2997.0,13.70%,Longwood University; Hampden-Sydney College,0.0,0.00%,,0.0,0.00%,
51149,Virginia,Prince George County,43010.0,0.0,0.00%,,0.0,0.00%,,5335.0,12.40%,Fort Gregg-Adams,0.0,0.00%,
51159,Virginia,Richmond County,8923.0,1398.0,15.60%,Northern Neck Regional Jail; Haynesville Correctional Unit #17; Haynesville Correctional Center,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
51183,Virginia,Sussex County,10829.0,2035.0,18.70%,Sussex County Jail; Sussex I State Prison,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
51530,Virginia,Buena Vista city,6641.0,0.0,0.00%,,446.0,6.70%,Southern Virginia University,0.0,0.00%,,0.0,0.00%,
51630,Virginia,Fredericksburg city,27982.0,0.0,0.00%,,2155.0,7.70%,University Of Mary Washington,0.0,0.00%,,0.0,0.00%,
51660,Virginia,Harrisonburg city,51814.0,0.0,0.00%,,6547.0,12.60%,James Madison University,0.0,0.00%,,0.0,0.00%,
51678,Virginia,Lexington city,7320.0,0.0,0.00%,,2610.0,35.60%,Virginia Military Institute; Washington And Lee University,0.0,0.00%,,0.0,0.00%,
51680,Virginia,Lynchburg city,79009.0,0.0,0.00%,,9002.0,11.30%,Randolph College; University Of Lynchburg; Central Virginia Community College; Liberty University,0.0,0.00%,,0.0,0.00%,
51710,Virginia,Norfolk city,238005.0,0.0,0.00%,,0.0,0.00%,,13015.0,5.40%,NAVSUPPACT Hampton Roads VA; Naval Station Norfolk; Lafayette Rvr Complex,0.0,0.00%,
51750,Virginia,Radford city,16070.0,0.0,0.00%,,3315.0,20.60%,Radford University,0.0,0.00%,,0.0,0.00%,
51830,Virginia,Williamsburg city,15425.0,0.0,0.00%,,4755.0,30.80%,William & Mary,0.0,0.00%,,0.0,0.00%,
53075,Washington,Whitman County,47973.0,0.0,0.00%,,6130.0,12.70%,Washington State University,0.0,0.00%,,0.0,0.00%,
54017,West Virginia,Doddridge County,7808.0,1127.0,14.40%,North Central Regional Jail,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
54021,West Virginia,Gilmer County,7408.0,1440.0,19.40%,Fci Gilmer Camp; Fci Gilmer,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
54061,West Virginia,Monongalia County,105822.0,0.0,0.00%,,6808.0,6.40%,West Virginia University,0.0,0.00%,,0.0,0.00%,
55078,Wisconsin,Menominee County,4255.0,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,,3643.0,85.60%,Menominee Reservation; Stockbridge Munsee Reservation
